Homepage Folder,Source Page,Broken Link,Error,Status Code,Context,Why Broken,Suggested Replacement
Sonatype IQ Server,https://help.sonatype.com/en/release-specific-upgrade-instructions.html,https://support.sonatype.com/hc/en-us/articles/360058028653-Error-during-SSO-login-Authentication-failed-due-to-SAML-error-after-upgrading-Nexus-Repo-3-or-IQ-Server,HTTP 404,404,"... if not done you may encounter an authentication error. See Error during SSO login ""Authentication failed due to SAML error"" after upgrading Nexus Repository 3 or IQ Server for more information....",,
Sonatype IQ Server,https://help.sonatype.com/en/download-and-compatibility.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.18.2-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.18.2-01.zip ( ASC , SHA1 )",,
Sonatype Integrations,https://help.sonatype.com/en/pull-request-commenting.html,https://support.sonatype.com/hc/en-us/articles/5932871948691-Remediation-recommendations-don-t-load-consistently,HTTP 404,404,"If you experience challenges with seeing Transitive Solver recommendations, please refer to this Knowledgebase article .",,
Sonatype Nexus Repository,https://help.sonatype.com/en/download.html,https://download.sonatype.com/nexus/nexus-instance-migrator/nexus-repository-instance-migrator-1.1.28-01.jar.md5,HTTP 404,404,Nexus Repository Instance Migrator Download ( MD5 ),,
